GEOID,NAME,pop,asian,chinese,ch_pct,NEAR_DIST,LOCALE,STATEFP,LOC_NAME,taiwan,cmb_asian,cmb_chns,Shape_Length,Shape_Area
42045401103,Census Tract 4011.03; Delaware County; Pennsylvania,3026,333,0,0,0.8,21,42,Large Suburban,0,419,0,0.043889289991186,0.000103094616553
42077005800,Census Tract 58; Lehigh County; Pennsylvania,3423,0,0,0,1.3,21,42,Large Suburban,0,1,0,0.053857003390458,0.000172758348005
42079211000,Census Tract 2110; Luzerne County; Pennsylvania,4645,33,0,0,0.7,21,42,Large Suburban,0,41,0,0.061683431229676,0.000260345084493
42125782700,Census Tract 7827; Washington County; Pennsylvania,1488,5,0,0,1.7,31,42,Fringe Town,0,5,0,0.036324753846493,0.000080823503108
42011001300,Census Tract 13; Berks County; Pennsylvania,2960,0,0,0,0.5,13,42,Small City,0,0,0,0.034241565557926,0.000061153270361
42069110700,Census Tract 1107; Lackawanna County; Pennsylvania,2857,0,0,0,0.8,21,42,Large Suburban,0,17,0,0.107122335662530,0.000406939089446
42089300201,Census Tract 3002.01; Monroe County; Pennsylvania,4040,187,0,0,3.1,42,42,Distant Rural,0,225,0,0.532777545025963,0.014723662129295
42101016600,Census Tract 166; Philadelphia County; Pennsylvania,1943,329,0,0,0.3,11,42,Large City,0,382,23,0.025053552604958,0.000027838541777
42101017701,Census Tract 177.01; Philadelphia County; Pennsylvania,3102,0,0,0,0.1,11,42,Large City,0,0,0,0.025042668800066,0.000025399436776
42043020900,Census Tract 209; Dauphin County; Pennsylvania,3430,71,0,0,1.6,13,42,Small City,0,110,0,0.096858224682604,0.000508123077801
42101018801,Census Tract 188.01; Philadelphia County; Pennsylvania,3412,0,0,0,0.3,11,42,Large City,0,0,0,0.027147385303467,0.000043450793355
42025020202,Census Tract 202.02; Carbon County; Pennsylvania,2867,0,0,0,7.0,41,42,Fringe Rural,0,0,0,0.460552349443062,0.011021207242234
42003478200,Census Tract 4782; Allegheny County; Pennsylvania,5544,11,0,0,1.0,21,42,Large Suburban,0,11,0,0.089433099684889,0.000238157961371
42029311600,Census Tract 3116; Chester County; Pennsylvania,2191,17,0,0,1.9,21,42,Large Suburban,0,17,0,0.143732017592469,0.000578494322168
42003080900,Census Tract 809; Allegheny County; Pennsylvania,1994,88,0,0,0.4,11,42,Large City,0,94,0,0.038544294690640,0.000041287478347
42003261500,Census Tract 2615; Allegheny County; Pennsylvania,1746,8,0,0,2.4,11,42,Large City,0,36,0,0.064268745596309,0.000122169574193
42019912001,Census Tract 9120.01; Butler County; Pennsylvania,5673,103,0,0,5.0,21,42,Large Suburban,0,193,38,0.167221756556024,0.001454176352895
42133001000,Census Tract 10; York County; Pennsylvania,1379,0,0,0,0.4,13,42,Small City,0,0,0,0.038733344309670,0.000064562423214
42101029300,Census Tract 293; Philadelphia County; Pennsylvania,3032,0,0,0,0.4,11,42,Large City,0,24,0,0.041655646298485,0.000072665788119
42079213800,Census Tract 2138; Luzerne County; Pennsylvania,1434,0,0,0,1.5,21,42,Large Suburban,0,12,0,0.051837881672675,0.000099789324555
42011002001,Census Tract 20.01; Berks County; Pennsylvania,1668,0,0,0,0.4,13,42,Small City,0,0,0,0.021669740443849,0.000029040788760
42129800500,Census Tract 8005; Westmoreland County; Pennsylvania,2571,0,0,0,1.2,21,42,Large Suburban,0,0,0,0.107262753487109,0.000249503461934
