category,count
Sushi Roll &amp; Hand Roll,25
Vegetarian TVP,25
Classic Roll or Hand Roll,25
Vegetable 蔬,25
Family Style,25
Spicy Hotpot,25
Desserts and Beverages,25
Chinese Stir Fry,25
Plates,25
Vegetarian Dish,25
Flat Noodle and Rice Noodle,25
Dinner Pork,25
Combos  ,25
Chef's Specialty in Hong Kong Style,25
Chef's Specialites,25
Bundle  ,25
Thai and Chinese Entrees,25
Combination Platter 套餐,25
Traditional Chinese Food,25
American Platters,25
Family Style Dinners,25
Shrimp &amp; Other Seafood,25
Handmade Snacks 手造小食,25
Most Popular,25
Regular Lunch Specials,24
Chicken Entrée ,24
Daily Dinner Special,24
HotPot-Vegetable &amp; Mushroom,24
Tofu and Vegetables 豆腐蔬菜类,24
Fusion Sushi Rolls,24
Special Combination Plates 特色綜合菜,24
Teriyaki Combination,24
Cold Dish 凉菜,24
Pan-Fried Noodle &amp; Flat Noodle or Lo Mein,24
VEGETABLE,24
Chef's Specials ,24
Tofu and Vegetables (豆腐蔬菜类),24
Appetizer ,24
Regular Cut Rolls,24
"Noodle, Rice on Dishes",24
Perking Specialties,24
Teriyaki Main Dish,24
Tofu and Vegetables 豆腐及蔬菜,24
Kitchen 炒,24
Appetizers and Soups,24
Asian Kitchen Chef Specials,24
Main Food,24
Appetizers‎,24
Cantonese Noodles,24
Combination Platters 拼盘组合,24
Seafood Combos,24
Whole Cake,24
Entree (炒菜),24
Roll or Hand Roll (Maki),24
APPETIZERS,24
"Beef, Lamb, Pork",24
Bento Specials,24
C,24
Asian Bowls,24
Vegetables &amp; Bean Curd,24
Entrees 家乡小炒,24
Shrimp ,24
Chefs  Specialities,24
Lunch - Chicken,24
House Special Food,24
Special Drinks,24
Tofu and Vegetable 豆腐 / 素菜,24
Fresh Sushi Menu,24
East Gate Special Roll,24
Pork - Beef - Chicken,24
Fried rice / noodle,24
Cold Dishes,24
Chinese Noodle and Fried Rice,24
Cajun Seafood,24
Japanese Snack and Ramen,24
Peking Duck,24
White Meat Chicken,24
Meat 肉,24
Dinner Platters,24
Rice Noodle Soup,23
Lunch Shrimp,23
Milk Tea (Non-Dairy Creamer),23
Chefs Recommendation,23
Lunch Chicken,23
Wok Master,23
ChiKo Classics,23
Entree Dinner,23
Seafood (Do bien),23
Traditions,23
Pan Fried Noodles and Chow Fun,23
Beef and Pork (牛/豬肉類),23
Poultry 雞類,23
Teriyaki Combos,23
Nigiri Sushi / Sashimi,23
Stir Fried Foods Lunch,23
Nigiri Sushi &amp; Sashimi,23
Rice on Dishes,23
Chef 's Special,23
Signature Plates (新派川菜),23
New Specialties,23
Egg Foo Young ,23
Submarine Fleet,23
Diet Treasures,23
Chef's Signature 炒菜,23
Sushi or Sashimi a La Carte,23
🥇Our Special Suggestions🥇,23
Chinese - Meat,23
Cantonese and Szechuan Specialties,23
Lunch Chef Specialties,23
Specialty (經典炒菜).    Served with fried rice or steamed rice ,23
Fried Rice Noodles,23
Dry Noodle,23
Chicken (Dinner),23
Steam-At-Home,23
Red Pepper Special Stir Fried川宗小炒,23
Try our Best Original Chinese Dishes,23
Combination Dinner Special,23
ICE CREAM &amp; SHAKES,23
Pork (Dinner),23
Vegetables or Tofu,23
Appetizer From Sushi Bar,23
Fried Rice/ Noodle,23
Tasty Starters,23
Dim Sum &amp; Appetizers,23
Kisso's Special Rolls,23
主菜 Szechuan Dishes,22
Subs,22
Mei Fun (Thin Rice Noodle),22
Chicken (Entree Dishes),22
Appetizers from Sushi Bar,22
Thai Special,22
Chef's Special Cantonese Dishes 主廚特色粵菜,22
Non Creamer Tea,22
Appetizers 頭臺,22
Appitizer,22
"Szechuan, Hunan Dishes",22
Noodle Bowls,22
Asian Noodles,22
Dosai,22
Fish (鱼类),22
Lobster &amp; Crab ,22
Vegetarian Mains,22
Noodles (Dry),22
Shrimp and Scallop,22
Vegetarian Special,22
Dinner Seafood,22
Seafood Entrées,22
Noodle (Lo Mein),22
Teriyaki-Chinese Combo,22
"Hunan, Szechuan and Chef's Specials",22
Noodle and Chow Fun,22
Stir-fried Fresh Homemade Noodles (炒手工长面),22
Chefs Specialities,22
Beef | Pork | Lamb,22
Classic Szechuan and Hunan,22
Teriyaki Meals,22
Chinese Menu - Chef's Specialties,22
Yat Gaw Mein,22
Milk Tea 台灣奶茶,22
Beef or Shrimp,22
Chang's Cuisine,22
Stir-Fried Noodles and Rice,22
Cantonese Noodle,22
Stir-Fried Dishes 小炒加白饭 ,22
Chef Specials 廚師特選,22
Vegetarian - Chef's Favorites,22
Special Combo Dinner,22
Chef Specialities 廚師特色,22
Rice ,22
Snack,22
Chef Specialties 大厨特别菜,22
Wok Entree,22
Traditional authentic Chinese food,22
Signature Hunan Cuisine 网红招牌湘菜,22
Express Lunch,22
Tasty Pot,22
Pork Entree,22
Curries and Stir Fried,22
Poultry - 雞 類,22
"Noodle, Fried Rice, Chow Mein, and Egg Foo Young 面类炒饭炒面芙蓉蛋",22
Chop Suey ,22
 Chef's Specialties,22
Hot and Spicy Selections,22
